id,genbank,assembly_genbank,taxid,Kingdom,Phylum,Class,Order ,Family,Genus,Species,species_code,genus_code
MMP09711302,CP031311,GCA_004799685.1,699433,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,Halobellus limi,254,163
MMP03755233,CP011947,GCA_001190965.1,35746,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax gibbonsii,255,164
MMP02603397,CP001868.2,GCA_000306765.2,523841,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax mediterranei,256,164
MMP00002580,CP001690.1,GCA_000172995.2,469382,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halogeometricum,Halogeometricum borinquense,257,165
MMP3451356,CVUA01000000,GCA_001282785.1,1480675,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,Halolamina sediminis,258,166
MMP12757031,CP044129,GCA_009617995.1,2610902,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium sp009617995,259,167
MMP09874278,CP031848,GCA_003441595.1,2304594,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Marinobacter sp003441595,369,242
MMP11099592,CP037934,GCA_004353225.1,2547598,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Marinobacter sp004353225,370,242
MMP04487880,LT897781,GCA_900188315.1,1761794,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Marinobacter sp900188315,371,242
MMP12612374,CP043042,GCA_008122265.1,2603215,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Marinobacter_A fonticola,372,243
MMP04939310,CP015839,GCA_001651805.1,1821621,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Nitrincolaceae,Marinobacterium,Marinobacterium_A aestuarii,373,244
MMP08348217,CP025987,GCA_005222245.1,2071621,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinomonadaceae,Marinomonas,Marinomonas alcarazii,374,245
MMP00713593,CP002583,GCA_000192865.1,717774,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinomonadaceae,Marinomonas,Marinomonas mediterranea,375,245
MMP00713622,CP002771,GCA_000214215.1,491952,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinomonadaceae,Marinomonas,Marinomonas posidonica,376,245
MMP02598388,CP000749,GCA_000017285.1,400668,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinomonadaceae,Marinomonas,Marinomonas sp000017285,377,245
MMP00053810,AP017558,GCA_002355635.1,1048396,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halopenitus,Halopenitus persicus_A,267,169
MMP09684815,CP034145,GCA_003856835.1,660522,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloplanus,Haloplanus aerogenes,268,170
MMP09684805,CP031150,GCA_003342695.1,1547898,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloplanus,Haloplanus rubicundus,269,170
MMP09684735,CP031148,GCA_003342675.1,1547898,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloplanus,Haloplanus rubicundus,269,170
MMP3138195,AM180088.1,GCA_000009185.1,362976,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,270,171
MMP2272799,FR746099.1,GCA_000237865.1,768065,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,270,171
MMP2271992,HF571520.1,GCA_000470655.1,1033806,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus tiamatea,271,172
MMP09425686,CP030064,GCA_003990725.1,634157,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,Halorubrum sp003990725,272,173
MMP00053811,AP017569,GCA_002355655.1,29284,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,Halorubrum trapanicum,273,173
MMP12860083,CP044523,GCA_008831545.1,2650975,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp008831545,274,174
MMP05375114,CP017260,GCA_001735745.1,1336794,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Hel1-33-131 sp001735745,275,175
MMP02603198,CP003481.1,GCA_000259275.1,1163745,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter cetorum,276,176
MMP02603199,CP003479.1,GCA_000259255.1,182217,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter cetorum_B,277,176
MMP05379701,CP016503,GCA_001693335.1,222136,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_G sp001693335,278,177
MMP00066775,AP017928,GCA_003584645.1,1432792,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,Methylocaldum marinum,414,269
MMP00713597,CP002606,GCA_000194135.1,760142,Bacteria,Campylobacterota,Desulfurellia,Desulfurellales,Hippeaceae,Hippea,Hippea maritima,280,179
MMP00713628,CP002738,GCA_000214665.1,857087,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,Methylomonas methanica_B,417,271
MMP07210921,CP021973,GCA_002952115.1,754476,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Methylophaga,Methylophaga nitratireducenticrescens,418,272
MMP06311449,CP019650,GCA_001999945.1,260552,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Microbulbifer,Microbulbifer agarilyticus_A,422,275
MMP08974432,CP029064,GCA_003076275.1,359370,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Microbulbifer,Microbulbifer sp003076275,423,275
MMP00177827,AP019807,GCA_007183175.1,2591606,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Microbulbifer,Microbulbifer sp007183175,424,275
MMP11996121,CP045369,GCA_009363535.1,2587856,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Microbulbifer,Microbulbifer sp009363535,425,275
MMP08335225,CP025933,GCA_002891475.1,582,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Morganella,Morganella morganii,441,282
MMP12502771,CP044399,GCA_008931805.1,1202962,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Moritellaceae,Moritella,Moritella marina,442,283
MMP02604082,CP000493.1,GCA_000015145.1,415426,Archaea,Thermoproteota,Thermoproteia,Sulfolobales,Pyrodictiaceae,Hyperthermus,Hyperthermus butylicus,288,185
MMP2735902,LN554852,GCA_000953735.1,80854,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Moritellaceae,Moritella,Moritella viscosa,443,283
MMP10455597,LS483250,GCA_900465055.1,69539,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Moritellaceae,Moritella,Moritella yayanosii,444,283
MMP09853484,CP031700,GCA_008807015.1,640030,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria zalophi,459,291
MMP12684172,CP043869,GCA_008630635.1,1031538,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Nitrincolaceae,Neptunomonas,Neptunomonas concharum,461,293
MMP12792670,CP044222,GCA_008727795.1,2614693,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Nitrincolaceae,Nitrincola,Nitrincola sp008727795,465,297
MMP02598510,CP001798,GCA_000024725.1,472759,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,Nitrosococcus,Nitrosococcus halophilus,467,299
MMP04316368,CP006867,GCA_001481685.1,940295,Archaea,Thermoproteota,Thermoproteia,Sulfolobales,Ignicoccaceae,Ignicoccus,Ignicoccus islandicus,295,191
MMP02598324,CP000816.1,GCA_000017945.1,453591,Archaea,Thermoproteota,Thermoproteia,Sulfolobales,Ignicoccaceae,Ignicoccus,Ignicoccus_A hospitalis,296,192
MMP00060985,AP012057.1,GCA_000348785.1,1313172,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacter_A coccineus,297,193
MMP00116458,CP002281,GCA_000165505.1,572544,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Ilyobacter,Ilyobacter polytropus,298,194
MMP02598329,CP000127,GCA_000012805.1,323261,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,Nitrosococcus,Nitrosococcus oceani,468,299
MMP03009086,CP009415.1,GCA_000755705.1,1541959,Bacteria,Firmicutes,Bacilli,Izemoplasmatales,Izemoplasmataceae,Izemoplasma,Izemoplasma_B sp000755705,300,196
MMP04324281,CP038033,GCA_004421105.1,1814290,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,Nitrosococcus,Nitrosococcus wardiae,469,299
MMP10928631,CP036164,GCA_004295485.1,53458,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Dermatophilaceae,Janibacter,Janibacter limosus_A,302,198
MMP02598531,CP002086,GCA_000143085.1,105559,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,Nitrosococcus,Nitrosococcus watsonii,470,299
MMP02870886,CP009416.1,GCA_000818095.1,1508404,Bacteria,Firmicutes,Bacilli,Bacillales_B,Jeotgalibacillaceae,Jeotgalibacillus,Jeotgalibacillus malaysiensis,304,200
MMP10954014,CP036267,GCA_007744255.1,2527994,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Planctomycetaceae,KOR42,KOR42 sp007744255,305,201
MMP10954040,CP036425,GCA_007747445.1,2528020,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,KS4,KS4 sp007747445,306,202
MMP12248406,CP041687,GCA_007362475.1,2594269,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Kaistella,Kaistella sp007362475,307,203
MMP06075352,CP019343,GCA_002117105.1,716816,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae_A,Oceanicoccus,Oceanicoccus sagamiensis,489,307
MMP07139042,CP021377,GCA_002157895.1,1416627,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Oceanisphaera,Oceanisphaera profunda,490,308
MMP06234459,CP021425,GCA_002162375.1,141451,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Oleiphilus,Oleiphilus messinensis,497,313
MMP4532328,FO203512,GCA_000967895.1,698738,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Saccharospirillaceae,Oleispira,Oleispira antarctica,498,314
MMP03329217,CP010904,GCA_001017655.1,1307763,Bacteria,Verrucomicrobiota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,Kiritimatiella,Kiritimatiella glycovorans,312,205
MMP02598305,CP000388,GCA_000014225.1,342610,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,Paraglaciecola atlantica_A,519,330
MMP09531906,CP031153,GCA_003352465.1,2282170,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Kordia,Kordia sp003352465,314,207
MMP00001868,CP001634,GCA_000023325.1,521045,Bacteria,Thermotogota,Thermotogae,Petrotogales,Kosmotogaceae,Kosmotoga,Kosmotoga olearia,315,208
MMP02940556,CP011232,GCA_001027025.1,1330330,Bacteria,Thermotogota,Thermotogae,Petrotogales,Kosmotogaceae,Kosmotoga,Kosmotoga_B pacifica,316,209
MMP00713610,CP002526,GCA_000212335.1,983545,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,Paraglaciecola chathamensis,520,330
MMP02603050,CP003837,GCA_000347635.1,1129794,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,Paraglaciecola psychrophila,521,330
MMP08045872,CP024955,GCA_002804065.1,2055160,Bacteria,Firmicutes,Alicyclobacillia,Kyrpidiales,Kyrpidiaceae,Kyrpidia,Kyrpidia spormannii,319,211
MMP02598443,CP001686,GCA_000023925.1,478801,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Dermatophilaceae,Kytococcus,Kytococcus sedentarius,320,212
MMP07329764,CP022355,GCA_002216855.1,1755811,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Paraphotobacterium,Paraphotobacterium marinum,523,332
MMP00078003,AP018042,GCA_002356295.1,1717717,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Labilibaculum,Labilibaculum antarcticum,322,214
MMP11111039,CP037952,GCA_004358345.1,342950,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Parashewanella,Parashewanella spongiae,524,333
MMP00713635,CP002825,GCA_000211855.3,983544,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,Lacinutrix sp000211855,324,216
MMP08125751,CP025118,GCA_002831665.1,2057808,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,Lacinutrix sp002831665,325,216
MMP06234633,CP019352,GCA_001971745.1,1486034,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,Lacinutrix venerupis,326,216
MMP02596969,AP009332.1,GCA_000269925.1,420889,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae,327,217
MMP08435054,CP026502,GCA_004328725.1,1363,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae,327,217
MMP00060912,AP009333,GCA_000269945.1,420890,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae,327,217
MMP00046983,AP017373,GCA_002355575.1,1363,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae_B,328,217
MMP11110833,CP037951,GCA_004358445.1,2547970,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Parashewanella,Parashewanella tropica,525,333
MMP06133353,MSCJ01000000,GCA_002954615.1,661,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Photobacterium,Photobacterium angustum,544,346
MMP06075355,CP018297,GCA_003130755.1,38293,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Photobacterium,Photobacterium damselae,545,346
MMP08865926,CP028914,GCA_003060805.1,2153484,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,Limnospira,Limnospira fusiformis,331,219
MMP11638411,CP040360,GCA_005577135.1,2579791,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriaceae,Limnothrix,Limnothrix sp001693275,332,220
MMP01081740,CP000951,GCA_000019485.1,32049,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriaceae,Limnothrix,Limnothrix sp001693275,332,220
MMP00051107,AP017959,GCA_002356215.1,1827144,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriaceae,Limnothrix,Limnothrix sp002356215,333,220
MMP03379852,CP005973,GCA_000940995.1,658445,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Photobacterium,Photobacterium gaetbulicola,546,346
MMP3138336,CR354531,GCA_000196255.1,298386,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Photobacterium,Photobacterium profundum_A,547,346
MMP04299808,CP013355,GCA_001543325.1,1622118,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutibacter,Lutibacter profundi,336,223
MMP04376257,CP013821,GCA_001932955.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11526026,CP039868,GCA_009724885.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP03097699,LT629302,GCA_900104375.1,1250295,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAR-2010-188,MAR-2010-188 sp900104375,339,225
MMP09428325,CP030158,GCA_003285105.1,2893045,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,MEBICO9517,MEBICO9517 sp003285105,340,226
MMP02954313,GCA_000246735.1,GCA_000246735.1,274854,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp000246735,341,227
MMP04376290,CP013806,GCA_001932915.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP03074591,CP009505,GCA_000970045.1,1434100,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,MTP4,MTP4 sp000970045,343,229
MMP05928844,CP017950,GCA_002838205.1,1911683,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,MZ-XQ,MZ-XQ sp002838205,344,230
MMP04362175,CP013778,GCA_001932795.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP04362159,CP013757,GCA_001932595.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP10953974,CP036275,GCA_007747795.1,2528026,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Planctomycetaceae,Mal4,Mal4 sp007747795,347,233
MMP03737952,CP031218,GCA_003346755.1,197482,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Malaciobacter,Malaciobacter halophilus,348,234
MMP12421742,CP042812,GCA_008000835.1,1912871,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Malaciobacter,Malaciobacter marinus,349,234
MMP03737953,CP032101,GCA_003544855.1,505249,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Malaciobacter,Malaciobacter marinus,349,234
MMP03737954,CP032098,GCA_003544935.1,870501,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Malaciobacter,Malaciobacter molluscorum,350,234
MMP03737955,CP031219,GCA_003346775.1,1032238,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Malaciobacter,Malaciobacter mytili,351,234
MMP07514628,CP022957,GCA_002269385.1,1178778,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter cobaltidurans,352,235
MMP05192545,LT629754,GCA_900105105.1,320912,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter dokdonensis,353,235
MMP03496287,CP011318,GCA_001865655.1,1644130,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter dokdonensis,353,235
MMP02603923,CP002157,GCA_000153165.2,313603,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter_A sp000153165,354,236
MMP04362160,CP013762,GCA_001932735.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP2272440,FO203522.1,GCA_000331025.1,1121451,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Maridesulfovibrio,Maridesulfovibrio hydrothermalis,356,238
MMP00001870,CP001649,GCA_000023445.1,526222,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Maridesulfovibrio,Maridesulfovibrio salexigens,357,238
MMP10980025,CP042912,GCA_008087665.1,980251,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Mariniblastus,Mariniblastus fucicola,358,239
MMP00713602,CP002630,GCA_000195335.1,869210,Bacteria,Deinococcota,Deinococci,Deinococcales,Marinithermaceae,Marinithermus,Marinithermus hydrothermalis,359,240
MMP03069110,CP009471,GCA_001941525.1,1545835,Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,Marinitoga piezophila,360,241
MMP02261422,CP003257,GCA_000255135.1,443254,Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,Marinitoga piezophila,360,241
MMP04362173,CP013768,GCA_001932755.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP04362174,CP013773,GCA_001932775.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP04362177,CP013781,GCA_001932815.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP04362178,CP013786,GCA_001932835.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP04362179,CP013791,GCA_001932855.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP04362180,CP013796,GCA_001932875.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP04376232,CP013801,GCA_001932895.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP04376266,CP013811,GCA_001932935.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP04376258,CP013816,GCA_001746795.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP04309069,CP013944,GCA_001514395.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP04309076,CP013975,GCA_001534725.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP10437718,CP033937,GCA_003850185.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11295234,CP038811,GCA_009708235.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11338083,CP038876,GCA_009708255.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11338143,CP038881,GCA_009708275.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11338144,CP038886,GCA_009708315.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11338182,CP038891,GCA_009708295.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11349265,CP038893,GCA_009708335.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11349266,CP038898,GCA_009708355.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11338183,CP038904,GCA_009708575.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11338184,CP038908,GCA_009708435.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11349267,CP038913,GCA_009708695.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11349268,CP038918,GCA_009708715.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11338197,CP038923,GCA_009708735.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11338199,CP038927,GCA_009708755.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11338200,CP038932,GCA_009708915.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP00138949,CP002349,GCA_000183425.1,643867,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marivirga,Marivirga tractuosa,383,250
MMP11338211,CP038937,GCA_009708775.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP11338213,CP038942,GCA_009708795.1,1238,Bacteria,Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Piscirickettsia,Piscirickettsia salmonis,549,348
MMP13336233,CP046266,GCA_009720625.1,2567941,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Metabacillus,Metabacillus sp004801455,386,253
MMP05178567,CP016020,GCA_001889165.1,1547283,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Metabacillus,Metabacillus weihaiensis,387,253
MMP08864381,CP029295,GCA_003332325.1,142651,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Metamycoplasmataceae,Metamycoplasma,Metamycoplasma phocidae,388,254
